config,target,trial,core_number,execs_sec,execs_done,run_time
aflplusplus_fixseed4,bloaty_fuzz_target,3448362,0,983.9586335735255,22121358,22482
aflplusplus_fixseed4,bloaty_fuzz_target,3446194,0,1333.821619217082,29984310,22480
aflplusplus_fixseed4,bloaty_fuzz_target,3448211,0,1266.977537585624,28484189,22482
aflplusplus_fixseed4,bloaty_fuzz_target,3447523,0,1210.0107220714508,27197411,22477
aflplusplus_fixseed4,bloaty_fuzz_target,3453291,0,1386.1917174502914,31162976,22481
aflplusplus_fixseed4,bloaty_fuzz_target,3446189,0,1185.9215747330961,26659517,22480
aflplusplus_fixseed4,bloaty_fuzz_target,3446199,0,886.6413541527648,19930811,22479
aflplusplus_fixseed4,bloaty_fuzz_target,3446191,0,1222.9397241992883,27491685,22480
aflplusplus_fixseed4,bloaty_fuzz_target,3450924,0,1293.1383130171723,29067163,22478
aflplusplus_fixseed4,bloaty_fuzz_target,3446188,0,1024.6633451957296,23034432,22480
aflplusplus_fixseed4,bloaty_fuzz_target,3447948,0,1173.5193453704528,26387756,22486
aflplusplus_fixseed4,bloaty_fuzz_target,3448210,0,1358.311196121169,30536194,22481
aflplusplus_fixseed4,bloaty_fuzz_target,3446198,0,881.0846047773675,19807663,22481
aflplusplus_fixseed4,bloaty_fuzz_target,3450761,0,1327.0745040476827,29835289,22482
aflplusplus_fixseed4,bloaty_fuzz_target,3448209,0,1058.958898625506,23806455,22481
aflplusplus_fixseed4,bloaty_fuzz_target,3446192,0,1345.053277594948,30244868,22486
aflplusplus_fixseed4,bloaty_fuzz_target,3446186,0,911.2150006672895,20483202,22479
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3447903,0,1301.0163481669563,29206516,22449
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445058,0,414.9404391501467,9335330,22498
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445062,0,798.1881144077221,17944067,22481
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3448008,0,1447.1155231446485,32544181,22489
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3448030,0,1244.6946755037586,27981981,22481
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445057,0,2752.556114051866,61880214,22481
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445051,0,2145.092635417593,48234553,22486
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445049,0,2338.044849240636,52496121,22453
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445045,0,2899.6729495443433,65228143,22495
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445044,0,2302.2524120759413,51779959,22491
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3447110,0,2412.7260011581807,54163286,22449
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445052,0,2330.512138728324,52413218,22490
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445054,0,1003.9293239098547,22585398,22497
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445050,0,1817.1826222222223,40886609,22500
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445053,0,2157.6047784303255,48494325,22476
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3448029,0,932.0439991093298,20929048,22455
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3451078,0,1335.543555713904,29988295,22454
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3448028,0,1247.852670431805,28060463,22487
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3447902,0,2525.971849806245,56710594,22451
aflplusplus_fixseed1,lcms_cms_transform_fuzzer,3445056,0,2819.6811349284,63403350,22486
aflplusplus_fixseed5,bloaty_fuzz_target,3450599,0,1267.7179316170914,28512244,22491
aflplusplus_fixseed5,bloaty_fuzz_target,3446604,0,975.0985808977267,21919241,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3450765,0,1331.7467307179077,29940330,22482
aflplusplus_fixseed5,bloaty_fuzz_target,3446608,0,1103.8874410744463,24822013,22486
aflplusplus_fixseed5,bloaty_fuzz_target,3446620,0,1220.4921715149899,27439105,22482
aflplusplus_fixseed5,bloaty_fuzz_target,3447685,0,1312.751056541661,29509331,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3447689,0,1223.6423448705955,27469547,22449
aflplusplus_fixseed5,bloaty_fuzz_target,3446622,0,1270.7143238434164,28565658,22480
aflplusplus_fixseed5,bloaty_fuzz_target,3446621,0,1105.1767427376662,24843268,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3447891,0,1291.8182748342897,29038783,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3447691,0,1318.723030383914,29643575,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3446606,0,1240.0798380998976,27880715,22483
aflplusplus_fixseed5,bloaty_fuzz_target,3446614,0,1158.8180685912548,26051389,22481
aflplusplus_fixseed5,bloaty_fuzz_target,3448276,0,1236.0879854099016,27788494,22481
aflplusplus_fixseed5,bloaty_fuzz_target,3450762,0,985.6167979002624,22155680,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3448275,0,1338.8256595044263,30095462,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3446605,0,1306.7626334519573,29376024,22480
aflplusplus_fixseed5,bloaty_fuzz_target,3446607,0,1274.7912718537302,28656033,22479
aflplusplus_fixseed5,bloaty_fuzz_target,3446611,0,1299.5487099644129,29213855,22480
aflplusplus_fixseed5,bloaty_fuzz_target,3448274,0,1279.749499710944,28777727,22487
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446715,0,1145.1321685782875,25758603,22494
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3448293,0,1234.5904338153505,27747420,22475
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3448294,0,1106.5444034330947,24882864,22487
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446719,0,1869.5593461898188,41977216,22453
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3447730,0,201.7264923049551,4535215,22482
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3447729,0,1112.1877756493072,24965279,22447
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446716,0,572.7781878001067,12882927,22492
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446717,0,1430.5154277076294,32175153,22492
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446709,0,1594.4357616483467,35828566,22471
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446722,0,856.5312903082329,19257393,22483
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446720,0,2207.878868848809,49577920,22455
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446703,0,427.4458324072016,9615394,22495
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446718,0,1140.3520832406955,25645378,22489
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3447731,0,690.2401871240811,15492441,22445
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446708,0,414.59024411934723,9323720,22489
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3447892,0,254.06284444444444,5716414,22500
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3448292,0,1958.848288128057,44054498,22490
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446710,0,2970.417934347478,66780936,22482
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3446707,0,1222.8854927820353,27446442,22444
aflplusplus_fixseed5,lcms_cms_transform_fuzzer,3447971,0,278.4908630118714,6263538,22491
aflplusplus_fixseed1,bloaty_fuzz_target,3444954,0,1258.3227600320313,28284579,22478
aflplusplus_fixseed1,bloaty_fuzz_target,3444956,0,1170.348087188612,26309425,22480
aflplusplus_fixseed1,bloaty_fuzz_target,3444952,0,1222.9576199581982,27500648,22487
